Therapy,Primary Condition,Category,Evidence Level,Evidence Type,Key Finding,Availability,DOI / Source
Phosphatidylcholine ± computer-assisted cognitive training,PACS/PACVS cognition,Supplement + Intervention,Preliminary,Prospective comparative n=29,"Both treatment groups improved vs control; PACVS patients explicitly included alongside PACS",OTC + digital,https://doi.org/10.3389/fneur.2024.1419134
Neural therapy (local anaesthetic injection),PACVS musculoskeletal pain,Procedure,Preliminary,Case report n=1,"Single neuraltherapeutic stimulus sufficient to completely reverse persistent post-vaccination musculoskeletal pain",Rx (procedure),https://doi.org/10.1177/09226028251412573
Maraviroc + pravastatin,PASC / PACVS,Pharmaceutical,Preliminary,Case series n=18 (pre-selected responders) + Phase III RCT ongoing,"Biomarker normalisation (CD16+ monocytes) + subjective symptom improvement; critical selection bias — responders only enrolled",Rx,https://doi.org/10.3389/fmed.2023.1122529
Vaxtherapy protocol (nattokinase / fibrinolytics → monoclonal antibody → antimicrobials → mitochondrial supplements),PACVS / longvax,Multi-modal framework,Mechanistic + case series,Narrative review + clinical observations,"Four-stage protocol anchored in pathophysiology; stage 4 (mitochondrial supplements) directly overlaps with VitalScan4PACVS protocol",OTC / Rx / Research,https://doi.org/10.3390/diseases13070204
Antihistamines H1+H2 (fexofenadine 180mg + famotidine 40mg),PASC / MCAS phenotype,Pharmaceutical,Preliminary,Prospective observational n=14 treated vs 13 controls 20 days,"29% symptom-free at 20 days; fatigue, tachycardia, abdominal symptoms significantly lower in treated group; not statistically significant (underpowered)",OTC / Rx,https://doi.org/10.3389/fcvm.2023.1202696
Antihistamines H1+H2 (loratadine + famotidine/nizatidine),PASC / MCAS / long COVID,Pharmaceutical,Preliminary,Observational n=26 of 49 long COVID patients 4–16 weeks,"Gradual symptom improvement over 4–16 weeks; gradual response argues against placebo; T cell alterations documented",OTC / Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC8494538/
STIMULATE-ICP (loratadine + famotidine),Long COVID / MCAS,Pharmaceutical,RCT (results pending),RCT — UCL University College Hospital,"H1+H2 antihistamine RCT in long COVID; results pending publication",Rx,Pending
NAC — N-Acetylcysteine,PASC / PACVS / MCAS,Supplement,Preliminary,Case series n=3 NAC vs n=6 controls + medrxiv RCT (acute COVID),"Yale: vWF normalised 3/3 NAC vs 0/6 controls (p=0.0119); primary mechanism is lipid metabolism restoration (beta-oxidation protection) not spike protein",OTC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814706/
L-Arginine + Vitamin C,PASC / PACVS,Supplement,RCT (best supplement evidence),Single-blind RCT n=56 28 days,"Fatigue 8.7% vs 80.1% placebo (p<0.0001); 6MWT d=0.56; eNOS/ADMA ratio d=0.72; targets documented arginine depletion in PASC",OTC,https://pubmed.ncbi.nlm.nih.gov/36501014/
Creatine monohydrate,PASC / PACVS,Supplement,RCT,2 RCTs (Slankamenac 2023 n=6/group; 2026 Frontiers n=67) + meta-analysis,"Mental fatigue d=1.02 (6mo); concentration d=1.19–2.46 (note: n=6 inflates effect sizes); 2026 RCT: fatigue −2.05 points p=0.005; ATP buffering + neuroprotection mechanism",OTC,https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.3597
NMN (Nicotinamide Mononucleotide),PASC / PACVS,Supplement,Preliminary,Pilot trial (NAD+ + LDN combined) + null NR RCT,"Isman 2024: Chalder fatigue 25.9→17.4 (p<0.0001) but combined with LDN (cannot isolate); dedicated NR RCT: no significant effect vs placebo; NAD+ depletion well documented in PASC",OTC,https://doi.org/10.1016/j.bbih.2024.100733
L-Citrulline,PASC / PACVS,Supplement,Mechanistic,Depletion data + athlete RCTs,"Citrulline/ornithine ratio elevated in PASC; bypasses hepatic arginine metabolism to raise plasma arginine more effectively than arginine alone; no PASC-specific RCT",OTC,https://pubmed.ncbi.nlm.nih.gov/39064203/
L-Glutamine,PASC / PACVS,Supplement,Mechanistic + depletion,Depletion data + acute COVID RCT,"Depleted in PASC (López-Hernández 2023); acute COVID RCT: reduced hospitalisation duration (Cengiz 2020); TCA cycle alternative substrate when beta-oxidation impaired; no PASC-specific RCT",OTC,https://doi.org/10.1038/s41598-023-39049-x
Taurine,PASC / PACVS,Supplement,Mechanistic + depletion,Prospective depletion study + prehypertension RCT,"Khoramjoo 2024: plasma taurine inversely correlated with PASC severity (148 vs 225 μM); 1.6g/day raised plasma 34μM; mitochondrial tRNA modification + NF-κB inhibition; no PASC intervention RCT",OTC,https://doi.org/10.1371/journal.pone.0304522
Acetyl-L-Carnitine (ALCAR),PASC / PACVS,Supplement,Null result at 1g / mechanistic at 2g,PASC RCT null (1g/day) + acylcarnitine depletion data,"Scaturro 2022: no effect at 1g/day in PASC; acylcarnitines accumulate in PASC plasma (Guntur 2022) consistent with beta-oxidation transport bottleneck; included at 2g based on dose-response reasoning",OTC,https://doi.org/10.3390/app12084084
L-Serine,PASC / PACVS cognition,Supplement,Mechanistic + depletion,Depletion data with symptom correlation + healthy volunteer RCT,"Saito 2024: depleted in PASC; inversely correlated with neuropsychiatric symptoms; D-serine (NMDA co-agonist) improves cognition in healthy volunteers; no PASC RCT",OTC,https://doi.org/10.3389/fimmu.2024.1341843
AXA1125 (amino acid beta-oxidation formulation),Long COVID,Pharmaceutical,RCT,Phase 2a double-blind RCT UK,"Significant improvement in physical and cognitive fatigue vs placebo at 4 weeks; validates beta-oxidation as therapeutic target in long COVID; not commercially available",Research only,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102537/
Metformin (preventive — during acute infection),Long COVID prevention,Pharmaceutical,RCT,RCT n=2983 (ACTIV-6) + COVID-OUT replication,"Clinician-diagnosed long COVID halved at 6 months (RR 0.495; 95% CI 0.155–0.995); prevention not treatment; concordance across two independent trials strengthens signal",Rx,https://doi.org/10.1101/2025.08.08.25333305
Nirmatrelvir/ritonavir (Paxlovid),Long COVID treatment,Pharmaceutical,Null result,2 RCTs (STOP-PASC n=155; PAX LC n=127),"No significant symptom improvement in either trial; viral persistence as sole causal mechanism for established long COVID not supported by RCT evidence",Rx,https://doi.org/10.1016/S1473-3099(25)00073-8
Low-dose naltrexone (LDN),Long COVID fatigue / PASC,Pharmaceutical,Preliminary,Meta-analysis of 4 pre-post studies (n=~150) + 3 RCTs ongoing,"Hedges' g = −0.74 on fatigue (p<0.001); no RCTs published to date; TRPM3 ion channel restoration in NK cells proposed mechanism; BC RCT (n=160) expected soon",Rx,https://www.medrxiv.org/content/10.1101/2025.09.09.25335451v1.full
IVIg (intravenous immunoglobulin),PASC / PACVS / autonomic dysfunction,Pharmaceutical,Preliminary,Case series n=6–9 + Phase 2 RCT ongoing (n=200) + RECOVER-AUTO,"~50% of case series participants reported near-normal recovery; autoantibody neutralisation proposed mechanism; elevated GPCR autoantibodies documented in PACVS (Mundorf 2024)",Rx,NCT06305780
Lumbrokinase,Long COVID / ME-CFS microclots,Supplement,Research only,RCT recruiting (Mount Sinai n=~60; NCT06511050),"Fibrinolytic enzyme trial for microclot dissolution; no results yet; most rigorous fibrinolytic trial in long COVID to date; PolyBio Research Foundation",Research / OTC,https://clinicaltrials.gov/study/NCT06511050
Nattokinase + bromelain + curcumin (spike detox protocol),PASC / PACVS,Supplement,Mechanistic only,Narrative review + in vitro data,"Hulscher/McCullough 2023: proposed spike protein degradation via fibrinolysis and proteolysis; no published clinical trial in PASC/PACVS; widely promoted in medical freedom communities — evidence significantly overstated",OTC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10663976/
RECOVER-NEURO (BrainHQ / PASC-CoRE / tDCS),Long COVID cognition,Non-pharmacological intervention,Null result,RCT n=328 across 22 US sites (RECOVER initiative),"None of three cognitive rehabilitation interventions proved effective vs comparator; all five arms showed modest improvements over time; important null result for cognitive rehabilitation in long COVID",Research / digital,JAMA Neurology 2025
Psychoeducation / CBT for cognitive symptoms (COVCOG),Long COVID cognition,Non-pharmacological intervention,RCT,RCT parallel two-group design (Spain),"Cognitive and affective psychoeducation interventions for long COVID cognitive complaints; results published 2025",Non-pharmacological,https://pmc.ncbi.nlm.nih.gov/articles/PMC12631555/
Propranolol 20mg,POTS / long COVID POTS,Pharmaceutical,RCT,Crossover RCT n=54 (POTS population),"Significant HR reduction p=0.028; significant symptom burden reduction p=0.007; best pharmacological RCT evidence for POTS; applicable to post-COVID POTS phenotype",Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12982215/
Ivabradine,POTS / long COVID POTS,Pharmaceutical,Observational + nested RCT,55% observational success rate + COVIVA nested RCT (NCT05481177),"Consistent HR reduction across studies; selective If channel blocker — HR reduction without other cardiovascular effects; COVIVA published Frontiers Neurol July 2025",Rx,https://clinicaltrials.gov/study/NCT05481177
Midodrine,POTS / orthostatic hypotension,Pharmaceutical,Observational (moderate evidence),Systematic review 32 studies + observational n series,"33.9% treatment success in observational data; adequate evidence for hemodynamic benefit; moderate evidence per VA Long COVID guidelines",Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC11775448/
Fludrocortisone,POTS / orthostatic hypotension,Pharmaceutical,Observational (low evidence),Observational studies + guideline recommendations,"Blood volume expansion; 42.8% success in observational data; low evidence per VA Long COVID guidelines; used for low blood pressure phenotype",Rx,VA Long COVID guideline 2024
Pyridostigmine,POTS (hyperadrenergic),Pharmaceutical,Single RCT,Crossover RCT + systematic review,"Beneficial effect on hemodynamics in POTS; particularly relevant for hyperadrenergic phenotype; 21-RCT systematic review (2025)",Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12982215/
Recumbent exercise rehabilitation,POTS / long COVID POTS,Non-pharmacological,Observational + RCT ongoing,2025 systematic review + Karolinska RCT (NCT05877534 n=60),"Improved lung function, physical activity, wellbeing in long COVID without PEM; must start recumbent (rowing/swimming/cycling); critical PEM caveat; Karolinska RCT results pending 2025",Non-pharmacological,https://clinicaltrials.gov/study/NCT05877534
Increased salt and fluid intake,POTS,Non-pharmacological,Low evidence,Guideline-based + class II consensus,"Standard POTS supportive measure; 2–3L fluid/day + 3–5g sodium/day; minimally adequate evidence per guidelines; widely recommended as first-line non-pharmacological",Non-pharmacological,Clinical guidelines
Desmopressin,POTS,Pharmaceutical,Single crossover RCT,Crossover RCT n=30,"Did not change HR increment but significantly reduced symptom burden score (VOSS 13 vs 19; p=0.009); nocturia risk at higher doses",Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12982215/
Rupatadine (H1 antihistamine),MCAS / mastocytosis,Pharmaceutical,RCT,Crossover RCT n=33 mastocytosis patients,"Significant improvements in itching, flushing, skin reactivity, headache, tachycardia, and quality of life vs placebo; mastocytosis population — applicable to MCAS by shared mechanism",Rx,JACI 2019
Cromolyn sodium (oral),MCAS,Pharmaceutical,Observational / guideline,Guidelines + observational series,"Primarily for GI symptoms; mast cell stabiliser; 200mg 4x daily before meals; 4–8 week onset before judging effect; poor systemic absorption but GI benefit reported",Rx,Clinical guidelines (AAAAI/JACI)
Montelukast (leukotriene receptor antagonist),MCAS,Pharmaceutical,Observational,Observational study n=31 idiopathic MCAS,"2nd most commonly used drug after antihistamines in idiopathic MCAS; RCT evidence from urticaria (34 RCTs) shows modest benefit of adding LTRA to anti-H1; cysteinyl leukotriene elevation documented during MCAS episodes",Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12639879/
Ketotifen,MCAS,Pharmaceutical,Clinical use / observational,Long clinical track record + observational MCAS series,"Dual H1 blocker + mast cell stabiliser; 1–2mg twice daily; 4–8 weeks to full effect; used when antihistamines alone insufficient; no MCAS-specific RCT",Rx,Clinical guidelines
Aspirin (low dose),MCAS (prostaglandin phenotype),Pharmaceutical,Guideline-based,Expert consensus + limited observational data,"For prostaglandin-mediated MCAS (flushing, hypotension, PGD2 elevation); must be introduced in controlled setting — risk of triggering MC degranulation; 81mg daily typical dose",Rx,JACI 2019
