disease,spontaneous_remission_rate,best_intervention_remission_rate,gap_size,barrier_type,barrier_detail,last_soc_change,outdated_treatments,adjunctive_emerging,frontier_signal
Osteoarthritis,Structural progression is essentially universal over 10+ years without intervention; pain fluctuates but functional decline is the expected trajectory; no disease-modifying therapy exists as of 2024,No cure or disease modification available; total joint replacement (TJR) achieves 85-90% patient satisfaction and near-elimination of pain but is not disease reversal; weight loss of >10% reduces pain scores ~50% and slows structural progression; exercise therapy comparable to NSAIDs for pain relief,Large for pain management vs disease modification (disease modification doesn't exist); moderate for functional outcomes (exercise and weight loss underutilized vs medication),biological + practice,OARSI formally petitioned the FDA in 2016 to recognize OA as a serious disease with no cure and no disease-modifying interventions — confirmed in FDA's criteria. Practice gap: NSAIDs have been first-line for >100 years despite long-term evidence of joint damage acceleration and GI/CV risk; exercise consistently outperforms medication in functional outcomes but is rarely 'prescribed',2019-2020 — OARSI/ACR guidelines formally de-emphasized acetaminophen (evidence of minimal efficacy) and added conditional recommendation against opioids; NSAIDs have been first-line since the 1960s; duloxetine added ~2010 as centrally-acting option,Long-term oral NSAID use (4-year MRI data shows NSAIDs may accelerate cartilage loss; GI bleed and CV risk substantial in elderly OA population); intra-articular corticosteroid injections repeated >3x/year (joint damage acceleration); opioids for chronic OA pain (mortality signal in observational data); acetaminophen (not meaningfully better than placebo in recent RCTs for OA pain),Platelet-rich plasma (PRP) injections — multiple RCTs showing 3-6 month pain reduction; low-level laser therapy (LLLT); hydrogen sulfide donors (early animal data); senolytic therapy (dasatinib + quercetin — first human OA trial published 2019 showing reduced senescent cells),"Lorecivivint (Wnt pathway inhibitor, Phase 3 failed 2022 but variant study ongoing); sprifermin (FGF-18, cartilage anabolic, Phase 2 positive); anti-nerve growth factor (tanezumab — FDA rejected over joint safety, remains contested); gene therapy (AAV-based IGF-1 delivery to joint)"
Alzheimer's Disease and Other Dementias,Progressive and irreversible by definition; MMSE decline 1.07-3.4 points/year untreated; no spontaneous remission,"Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) slow MMSE decline to 0.2-1.37 points/year — slowing, not stopping; lecanemab (anti-amyloid) reduced clinical decline rate by 27% at 18 months in early AD (CLARITY AD, 2022); donanemab showed 35% slowing in amyloid/tau positive group",Small for symptom slowing; biological ceiling is genuinely low with current approaches,biological,True disease reversal or cure is not achievable with any current therapy; cholinesterase inhibitors have consistent but modest effects (average 2.7-point ADAS-Cog improvement vs placebo); anti-amyloid biologics represent a genuine mechanistic step forward but are not cures and have significant side effects (ARIA — amyloid-related imaging abnormalities in 21-36%),2023 — FDA full approval of lecanemab (Leqembi) for early AD — first disease-modifying therapy; 2003 memantine added; cholinesterase inhibitors approved 1993-2001; aducanumab (2021) withdrawn after controversy; this represents the first genuine SOC change since early 2000s,"Vitamin E supplementation (early trials positive, replication failed; still widely used); ginkgo biloba (multiple large RCTs negative, including GuidAge 5-year trial); NSAIDs as preventive or therapeutic (consistently negative in trials); huperzine A (widespread but no Phase 3 evidence)","Metabolic/lifestyle intervention (FINGER, MAPT, PREDIVA trials — multimodal interventions show 30% reduction in cognitive decline); ketogenic diet (emerging mechanistic rationale and early trials); photobiomodulation for cognitive function (small RCTs, Phase 2 active); methylene blue (low-dose, Phase 2)","Lecanemab and donanemab (first approved disease-modifying therapies); tau-targeting antibodies (semorinemab, zagotenemab Phase 3); GLP-1 agonists (semaglutide for AD, multiple Phase 3 including EVOKE trial); antisense oligonucleotides (APOE-targeting); ultrasound-mediated blood-brain barrier opening for drug delivery"
Hypothyroidism,Hashimoto's (most common cause) is irreversible in majority; spontaneous recovery in <5%; subclinical hypothyroidism spontaneously normalizes in ~30-40% of cases within 2 years without treatment,T4 monotherapy normalizes TSH in nearly all patients and resolves symptoms in ~60%; up to 40% of T4-treated patients remain symptomatic despite normalized TSH; T4+T3 combination or desiccated thyroid extract (DTE) preferred by ~50% of patients in blinded preference trials,"Moderate — within the treated population, a large minority are inadequately treated by the standard-of-care T4 monotherapy approach",framing/practice,Up to 40% of patients remain symptomatic on T4 despite guideline-defined adequate treatment; T3 combination and DTE are rarely offered in primary care despite guideline acknowledgment that a trial may be appropriate; TSH-only monitoring misses tissue-level hypothyroidism,2014 — ATA guidelines last updated; acknowledged T4/T3 combination as appropriate trial in symptomatic patients; 2019 ETA/BTA guidelines more explicitly acknowledged need for personalized approach; T4 monotherapy has been standard since 1980s displacement of DTE,TSH-only monitoring without free T4 and T3 measurement in symptomatic patients; rigid adherence to T4 monotherapy in symptomatic patients without considering combination or DTE; desiccated thyroid extract (DTE) was the only treatment for 110+ years before being discarded largely for convenience reasons rather than evidence of inferiority,"Selenium supplementation (reduces anti-TPO antibodies in Hashimoto's, may slow progression); low-dose naltrexone (LDN) in autoimmune thyroid disease; vitamin D optimization; gluten-free diet in Hashimoto's with coexistent celiac or non-celiac gluten sensitivity",Thyroid regeneration via stem cells (early animal models); mRNA-based thyroid hormone delivery; immune tolerization for Hashimoto's prevention; thyroid-stimulating hormone receptor antibody (TRAb) targeted therapy for Graves' disease
Low Back Pain,~90% of acute LBP episodes resolve within 6 weeks regardless of treatment; chronic LBP (>3 months) shows only 30-40% recovery at 1 year and high recurrence; opioid prescribing correlates inversely with recovery,"Cognitive behavioral therapy (CBT) + graded exercise: 50-70% sustained improvement at 1 year in chronic LBP; Pain Reprocessing Therapy (PRT) — 66% pain-free or nearly pain-free at 1 year (JAMA Psychiatry 2021, vs 20% placebo); early active rehabilitation (vs bed rest) dramatically reduces chronification",Large for psychologically-informed approaches vs current opioid/surgical dominant model,practice,Opioid prescribing for chronic LBP is associated with worse long-term outcomes yet remains extremely common; spinal fusion surgery rates 40x higher in US than UK despite no superiority over conservative care in most indications; active rehabilitation demonstrably superior to passive treatment but requires patient effort and provider time,2017 — ACP guidelines explicitly recommended against opioids as first-line for chronic LBP; 2016 CDC opioid prescribing guidelines; imaging-guided approach deprioritized; exercise and CBT as first-line since 2017 — but implementation is poor,"Opioids as first-line or long-term treatment (CDC guidelines explicitly against this; long-term opioid therapy correlates with worse functional outcomes in LBP); routine lumbar spinal fusion for nonspecific chronic LBP (RCTs show no superiority over intensive rehabilitation); prolonged bed rest (explicitly contraindicated since 1990s, yet still advised by some practitioners); routine NSAID long-term use without reassessment","Pain Reprocessing Therapy (PRT) — 66% near-pain-free at 1 year; mindfulness-based stress reduction (MBSR) — RCT evidence; intradiscal biologics (platelet-rich plasma, stem cells — Phase 2 trials); spinal cord stimulation for failed back surgery syndrome","Pain Reprocessing Therapy (growing RCT base); resiniferatoxin (ultra-potent TRPV1 agonist causing ablation of pain-signaling neurons — Phase 1/2); biologic disc regeneration (GDF-5, TGF-beta intradiscal injection Phase 2); dorsal root ganglion stimulation (FDA approved 2016 for CRPS, expanding to LBP)"
Migraine,Migraine frequency fluctuates; spontaneous remission (no attacks for 12+ months) occurs in ~25% over 10-year follow-up; 40% of migraine sufferers qualify for preventive therapy but only 3-13% receive it,"CGRP monoclonal antibodies (erenumab, fremanezumab, galcanezumab) achieve ≥50% reduction in monthly migraine days in 50-70% of patients; complete response (near-zero days) in 10-30%; acute triptans achieve 2-hour pain freedom in 30-40%",Large — primarily an access/utilization gap for preventive therapy,practice/access,Only 3-13% of the ~10 million US adults who qualify for preventive therapy receive it; prior authorization barriers for CGRP mAbs are substantial; widespread underdiagnosis; opioid prescribing for migraine in ED associated with medication overuse headache,"2018-2020 — FDA approved first CGRP-targeted preventive therapies (erenumab 2018, fremanezumab/galcanezumab 2018-2019, atogepant 2021); prior prevention (beta-blockers, topiramate, amitriptyline) unchanged since 1990s-2000s; triptans first-line acute since 1993","Opioids for acute migraine (associated with medication overuse headache, MOH, in 50-70% of frequent users; actually worsens long-term migraine frequency); opioids in ED for acute migraine (inferior to IV prochlorperazine + diphenhydramine, yet remain common); barbiturate-containing analgesics (Fioricet/butalbital — MOH risk, no superiority over NSAIDs)","Magnesium IV/oral (effective for acute migraine and prevention; dramatically underused); riboflavin 400mg/day (preventive; NNT ~3 in RCTs); CoQ10 300mg/day (Cochrane-reviewed); neuromodulation devices (Cefaly transcranial supraorbital stimulation, FDA cleared; gammaCore vagus nerve stimulation)","Gepants (oral CGRP receptor antagonists — ubrogepant, rimegepant — acute and preventive dual role); lasmiditan (5-HT1F agonist without vasoconstriction, for cardiovascular-contraindicated patients); psilocybin for cluster headache (NIH-funded Phase 2 underway); transcranial magnetic stimulation (SpringTMS, FDA cleared)"
Multiple Sclerosis,Untreated relapsing MS: ~1 relapse/year; disability accumulates over time in ~85% who convert to secondary progressive MS; spontaneous remission from MS is not possible,"High-efficacy DMTs (natalizumab, alemtuzumab, ocrelizumab, cladribine) achieve 0 clinical relapses in 50-70% at 2 years and >95% MRI lesion suppression; early high-efficacy treatment shows superior outcomes vs platform therapy escalation","Large — massive gap between platform DMT (interferons, glatiramer) and high-efficacy DMT outcomes, but practice still favors escalation model",practice,"Treat-to-target with early high-efficacy therapy is superior to the traditional safety-first escalation model (TREAT-MS, DELIVER-MS trials) but most MS neurologists still start with platform therapies; hematopoietic stem cell transplantation (HSCT) achieves 70-80% no-evidence-of-disease-activity (NEDA) at 5 years but is rarely offered","2023 — FDA approved tolebrutinib and fenebrutinib (BTK inhibitors) for primary progressive MS; ocrelizumab approved for PPMS 2017 (first ever treatment); platform therapies (interferons, glatiramer) unchanged since 1993-1996; paradigm shift to high-efficacy first gaining guideline endorsement only now",Escalation approach starting with interferon-beta or glatiramer acetate despite evidence that early high-efficacy treatment substantially reduces long-term disability accumulation; repeated IV corticosteroid use for frequent relapses without reassessing disease-modifying therapy adequacy,"Biotin (high-dose, 100-300mg/day) in progressive MS — Phase 3 equivocal but ongoing; vitamin D optimization (strong epidemiological association, RCT evidence modest); intermittent fasting/ketogenic diet for neuroprotection (animal models; Phase 2 underway); exercise as neuroprotective intervention","BTK inhibitors (tolebrutinib, fenebrutinib, evobrutinib) for progressive MS — target CNS-resident microglia; remyelination strategies (opicinumab, PIPE-307); HSCT (MIST trial showed superiority over mitoxantrone; Phase 3 vs alemtuzumab underway); CAR-T cell therapies in early trials"
NAFLD / MASH (Metabolic-Associated Steatohepatitis),MASH (formerly NASH) with fibrosis progresses to cirrhosis in ~20% over 10 years on standard care (which until 2024 was lifestyle modification only); fibrosis regression occurs spontaneously in ~25% over 5 years with sustained weight loss,Resmetirom (Rezdiffra) — first FDA-approved pharmacotherapy for MASH (March 2024): 26-30% histological resolution at 52 weeks vs 10% placebo; bariatric surgery achieves MASH resolution in 85% and fibrosis regression in 35% at 5 years; >7-10% weight loss resolves MASH in ~50%,Large — first drug only just approved in 2024 after decades of failed trials; practice still dominated by lifestyle advice alone,biological (historical) + access (current),"Until March 2024, there was literally no approved pharmacotherapy for MASH despite it being a leading cause of cirrhosis and liver transplant; the field repeatedly failed Phase 3 (obeticholic acid, elafibranor, selonsertib, cenicriviroc — all negative); resmetirom is a genuine breakthrough but access and prescribing uptake are still ramping up",March 2024 — resmetirom (Rezdiffra) FDA approved — the first pharmacotherapy for MASH; prior standard was weight loss and lifestyle only since MASH was described in 1980,Vitamin E (early RCT positive in non-diabetic NASH — PIVENS trial; subsequent use became widespread but long-term safety concerns emerged; not guideline-recommended in diabetics or cirrhosis); metformin (repeatedly negative in MASH RCTs despite glucose benefit); omega-3 fatty acids at standard doses (Phase 3 negative for histology despite lipid benefit),"Coffee consumption (3+ cups/day associated with 40% reduced fibrosis progression — not a supplement, but a genuine finding); prebiotic/probiotic interventions; SGLT2 inhibitors (secondary benefit on liver histology in MASH — RCT data emerging); exercise as primary therapy (reduces liver fat independently of weight loss)","Resmetirom (just approved); semaglutide for MASH (Phase 3 ESSENCE trial — histological resolution 63% vs 34%; results 2024); lanifibranor (PPAR-alpha/delta/gamma, Phase 3 NATIVE trial positive); combination approaches; FGF21 analogs (pegbelfermin); FXR agonists next generation"
Chronic Kidney Disease,GFR decline averages 2-5 mL/min/year on standard care (ACE/ARB + blood pressure control); progression to end-stage renal disease (ESRD) in ~20-30% at 10 years for moderate CKD; reversal essentially impossible once structural fibrosis established,"SGLT2 inhibitors (empagliflozin, dapagliflozin) reduce progression to ESRD by 30-35% in CKD trials (EMPA-KIDNEY, DAPA-CKD); finerenone (non-steroidal MRA) adds 15-20% additional protection; combination slows but does not reverse disease",Moderate — SGLT2 inhibitors represent a genuine paradigm shift but are dramatically underused,practice/access,SGLT2 inhibitors have robust evidence for CKD protection regardless of diabetes status (EMPA-KIDNEY 2023) but prescribing rates in non-diabetic CKD remain very low; ACE/ARB as sole strategy (established in 1990s-2000s) still dominant despite the new data,2023 — KDIGO guidelines updated to include SGLT2 inhibitors as first-line in CKD regardless of diabetes (EMPA-KIDNEY data); finerenone added for CKD in T2DM; ACE/ARB first-line unchanged since 2000; this is the first major CKD pharmacotherapy advance in 20 years,"ACE/ARB monotherapy without SGLT2 inhibitor in eligible CKD patients (KDIGO now recommends SGLT2 inhibitor as co-first-line); protein restriction beyond moderate levels (evidence equivocal, high compliance burden); erythropoiesis-stimulating agents (ESAs) to high hemoglobin targets (increased CV risk — TREAT and CHOIR trials; target now 10-11 g/dL, not 13+)","SGLT2 inhibitors (just becoming standard, but still underused); low-protein plant-predominant diet (PLADO trial — reduces hyperfiltration, lower acid load); bicarbonate supplementation (slows GFR decline in acidotic CKD — small but real effect); bardoxolone methyl (NRF2 activator, Phase 3 CARDINAL trial positive for CKD in Alport syndrome)","Sparsentan (dual endothelin/angiotensin antagonist — FDA approved for IgA nephropathy 2023); avacopan (complement inhibitor for ANCA vasculitis CKD); atrasentan (selective endothelin-A, Phase 3 ZENITH trial positive for IgA nephropathy 2024); kidney organoid-based replacement therapy (5-10 year horizon)"
Type 1 Diabetes,Essentially zero for established T1DM (honeymoon phase occurs in 50-60% after diagnosis but lasts 3-12 months then ends); the disease is permanent autoimmune destruction of beta cells,"Closed-loop insulin delivery (artificial pancreas systems — Control-IQ, Omnipod 5) achieves 70-80% time-in-range vs 60% with standard therapy; teplizumab (anti-CD3 mAb) delays T1DM onset by 2+ years in at-risk individuals; islet cell transplantation achieves insulin independence in ~44% at 5 years (CITR data)",Moderate-large — closed-loop approaches are increasingly standard but true insulin independence is rare with any available therapy,biological + access,Beta cell regeneration and transplantation face immune rejection barriers (all islet recipients require chronic immunosuppression); closed-loop systems dramatically improve quality of life and glycemic control but require intensive engagement and are expensive; teplizumab (FDA approved 2022) for delay is not a cure,2022 — teplizumab (Tzield) FDA approved for Stage 2 T1DM (first immunotherapy to delay progression); 2023 closed-loop systems widely recommended; 2021 Omnipod 5 cleared; ADA continuous glucose monitoring (CGM) recommended for all T1DM 2020; insulin unchanged as backbone since 1921,Multiple daily injection (MDI) with finger-stick monitoring in patients who would benefit from CGM + closed-loop (evidence clearly superior but access barriers remain); fixed insulin regimens without carbohydrate counting; NPH insulin use in settings where insulin analogues are available,"SGLT2 inhibitors as adjunct in T1DM (off-label, DKA risk with protocol; FDA rejected for T1D but widely used with mitigation strategies); GLP-1 agonists as adjunct (weight and dose reduction); ketogenic diet (very low-carb significantly reduces insulin requirements and variability)","Vertex VX-880 (stem-cell derived islet cells — Phase 1/2, insulin independence achieved in treated patients 2023); teplizumab for prevention in at-risk individuals; anti-thymocyte globulin (ATG) + GCSF for beta cell preservation; encapsulated islet transplantation (no immunosuppression needed — Phase 1 underway)"
