rank,disease,pathogen,efo_id,deaths_per_year,dalys_per_year,burden_confidence,has_post_acute,post_acute_kind,post_acute_syndrome,post_acute_onset,post_acute_source,top_drugs,top_targets,ct_trials_total,ct_trials_post_acute
1,Measles,virus,MONDO_0004619,165907.0,14278089.0,med,True,sequela,Subacute sclerosing panencephalitis (SSPE); post-measles immune amnesia; bronchiectasis,months-to-years post-infection,WHO measles; Laksono 2020 Science; Campbell 2019,"MMR / measles-rubella vaccination; Vitamin A supplementation (endemic/deficient settings); Supportive care (fluids, fever control); Vitamin A (acute illness); Antibiotics for bacterial superinfection; SSPE surveillance & supportive neurology; Bronchiectasis & pulmonary rehab",TMC3; CD40LG; C4B; CD46; KIR3DL1; STARD5,,
2,Rabies,virus,MONDO_0005944,59000.0,3700000.0,med,False,none,Essentially uniformly fatal once symptomatic - no post-acute phase,-,WHO rabies,"Dog & wildlife vaccination (oral rabies vaccine); Pre-exposure prophylaxis (PrEP); Rabies vaccine (post-exposure); Rabies immunoglobulin (RIG); Wound washing (soap, povidone-iodine); Palliative supportive care (symptomatic)",CGAS,,
3,Snakebite envenoming,venom,,100000.0,3000000.0,med,True,sequela,"Chronic disability: amputation, chronic kidney disease, chronic pain, PTSD",post-envenoming,WHO snakebite strategy 2019; Waiddyanatha 2022,"Habitat modification & protective footwear; Species-specific antivenom; Supportive care (airway, fluids, antitetanus); CKD, amputation & pain rehabilitation",,,
4,Scabies and other ectoparasitoses,mite,MONDO_0021201,0.0,3000000.0,low,True,sequela,"Secondary bacterial infection -> post-streptococcal (acute rheumatic fever, glomerulonephritis)",downstream,Romani 2015 Lancet ID,Permethrin 5% cream; Ivermectin (oral); Benzyl benzoate 25%; Household/contact treatment; Secondary bacterial infection treatment; CHLORHEXIDINE GLUCONATE,FLG; FTO; NR3C1; LY6D; PRSS53; SLC39A8,,
5,Dengue,virus,MONDO_0005502,40000.0,2900000.0,med,True,PAIS,Post-dengue fatigue syndrome / prolonged post-viral fatigue,weeks-to-months post-acute,Seet 2007; Garcia 2011,"Aedes aegypti / albopictus source reduction; Larvicides (temephos, Bacillus thuringiensis israelensis); Wolbachia-infected mosquito deployment; Personal repellents & protective clothing; Dengue tetravalent vaccine (Qdenga/TAK-003); Dengvaxia (CYD-TDV); Supportive care (IV fluids, hemodynamic monitoring); Paracetamol (avoid NSAIDs & aspirin); Blood component therapy; Graduated activity & fatigue rehabilitation; EMETINE HYDROCHLORIDE; MONTELUKAST; CELGOSIVIR; MODIPAFANT; METFORMIN",APOA1; HAVCR1; YBX1; CD209; PROS1; HSPA5,,
6,Taeniasis / cysticercosis,helminth,MONDO_0015484,3000.0,2800000.0,med,True,chronic,Neurocysticercosis -> chronic epilepsy (leading cause of acquired epilepsy in endemic areas),chronic,Garcia 2020 NEJM,"Taenia solium control (pig management, sanitation); Albendazole; Praziquantel; Antiepileptic drugs (e.g. carbamazepine)",NR3C1; AGTPBP1; TP53BP2; PSAP; CACNA1A; RELN,,
7,Foodborne trematodiases,helminth,MONDO_0005884,2000.0,1900000.0,low,True,chronic,Chronic biliary disease; cholangiocarcinoma (Opisthorchis/Clonorchis),chronic/late,IARC group-1 carcinogen; WHO,Food safety & cooking education; Praziquantel; Triclabendazole; Cholangiocarcinoma surveillance (Opisthorchis/Clonorchis),EGFR; SERPINA1; S100A8; PTGS2; TLR2; GRN,,
8,Soil-transmitted helminthiases,helminth,MONDO_0005654,2000.0,1900000.0,med,True,chronic,"Chronic anaemia, malnutrition, growth & cognitive impairment (children)",chronic morbidity,WHO STH fact sheet,Sanitation & hygiene (WASH); Albendazole; Mebendazole; Ivermectin; Moxidectin; Iron supplementation & nutritional rehab,IGHE; CXCR3; IL10; CD40LG; CD79A; GSTM1,,
9,Schistosomiasis,helminth,MONDO_0015254,13000.0,1600000.0,med,True,chronic,Chronic hepatic/urogenital fibrosis; bladder cancer risk; female genital schistosomiasis,chronic,Colley 2014 Lancet,Snail control & safe water access; Praziquantel; Oxamniquine; Chronic fibrosis & bladder cancer surveillance,IL4R; IL13; SPP1; IL33; KIT; HMGB1,,
10,Lymphatic filariasis,helminth,MONDO_0016075,0.0,1600000.0,med,True,chronic,"Chronic lymphoedema / elephantiasis, hydrocele",chronic morbidity,WHO LF fact sheet,"Mosquito vector control; Ivermectin + albendazole; Diethylcarbamazine (DEC); Doxycycline (anti-Wolbachia); Lymphoedema management (hygiene, compression)",MMP8; MMP1; MMP7; MMP13; ITGB2; CARD14,,
11,Leishmaniasis,protozoa,MONDO_0011989,25000.0,1300000.0,med,True,PAIS,Post-kala-azar dermal leishmaniasis (PKDL) after visceral leishmaniasis,months-to-years after VL treatment,Zijlstra 2003 Lancet ID; WHO,"Sandfly vector control (IRS, bed nets); Liposomal amphotericin B; Miltefosine; Paromomycin; Pentavalent antimonials (meglumine antimoniate); Sodium stibogluconate; PKDL management (liposomal amphotericin B, miltefosine)",IGHG3; IGHG1; IGHV1-46; IGHV1-69; IGHV3-11; IGKV3-20,,
12,Onchocerciasis (river blindness),helminth,MONDO_0017137,0.0,1200000.0,med,True,chronic,"Chronic dermatitis, vision loss/blindness, onchocerciasis-associated epilepsy / nodding syndrome",chronic,Colebunders 2018 (nodding syndrome); WHO,Simulium vector control (larviciding); Ivermectin; Moxidectin; Skin & eye disease management,CALR; IGHE; IL5; ACE; IL10; IL6,,
13,Yellow fever,virus,MONDO_0005306,8000.0,400000.0,med,True,sequela,Post-vaccine neurological events (YEL-AND); chronic fatigue in survivors (rare),days-to-weeks post-vaccine or post-infection,WHO yellow fever; Lindsey 2016,Aedes / Haemagogus vector control; Yellow fever 17D vaccine; Supportive care (avoid aspirin/NSAIDs); Liver failure & hemorrhage management; Post-vaccine adverse event monitoring; VUNAKIZUMAB; IVARMACITINIB SULFATE; NAPROXEN ETEMESIL; RITUXIMAB; IVARMACITINIB,TNF; PTGS2; PTGS1; IL17A; JAK2; NR3C1,,
14,Chikungunya,virus,EFO_0008494,200.0,300000.0,low,True,PAIS,Post-chikungunya chronic inflammatory rheumatism / chronic arthralgia,weeks-to-years post-acute,Zaid 2021 Lancet ID; WHO,"Aedes vector control (source reduction, larvicides); Vimkunya (VLA1553) vaccine; Travel & exposure precautions; Supportive care (rest, fluids); NSAIDs for acute arthralgia; Methotrexate / short corticosteroids; Hydroxychloroquine; Physiotherapy & joint rehabilitation",GPR161; CD40LG,,
15,Chagas disease,protozoa,MONDO_0001444,9000.0,230000.0,med,True,PAIS,Chronic Chagas cardiomyopathy + digestive megasyndromes (megaesophagus/megacolon),years-to-decades after acute infection,WHO Chagas fact sheet; Nunes 2018 Circulation,"Triatomine vector control (IRS, housing improvement); Blood/tissue screening; Benznidazole; Nifurtimox; Fexinidazole; Cardiac & digestive megasyndrome management",TGFB1; TUBA1B; TUBB; TUBB2B; TUBB2A; TUBB4A,,
16,Trachoma,bacteria,MONDO_0005808,0.0,200000.0,med,True,sequela,Conjunctival scarring -> trichiasis -> irreversible blindness,chronic/late,WHO trachoma (SAFE),Facial cleanliness & environmental improvement (F&E); Azithromycin (mass drug administration); Tetracycline eye ointment; Trichiasis surgery,SLC35A2; CXCL8; KLRC2; MMP9; HSPD1; TNF,,
17,Echinococcosis,helminth,MONDO_0005738,2000.0,180000.0,low,True,chronic,Chronic cystic/alveolar organ disease; recurrence after surgery,chronic,WHO echinococcosis,Dog deworming & slaughter hygiene; Albendazole; Mebendazole; PAIR / surgery; Long-term cyst surveillance,IL21; IGHE; PRDX2; LGALS3; IFNG; INS,,
18,Human African trypanosomiasis (sleeping sickness),protozoa,MONDO_0005459,1000.0,100000.0,med,True,sequela,Neuropsychiatric / sleep-cycle sequelae after CNS-stage disease,post-treatment,WHO HAT technical reports,"Tsetse fly control (traps, insecticide); Pentamidine; Suramin; Eflornithine (DFMO); Melarsoprol; Fexinidazole; Nifurtimox–eflornithine combination (NECT); Neuropsychiatric rehabilitation; ACOZIBOROLE",ODC1; PSAP; NPC1; KCNA1; GALC; TP53BP2,,
19,Buruli ulcer,bacteria,MONDO_0000327,100.0,50000.0,low,True,sequela,"Contractures, deformity, functional limitation after healing",post-treatment,WHO Buruli ulcer,Environmental wound care & early detection; Rifampicin + clarithromycin; Streptomycin + rifampicin; Physiotherapy & surgery for contractures; CLARITHROMYCIN; STREPTOMYCIN; RIFAMPIN,SLC11A1; IFNG; IL1B; BCL2L11; ARAF; HSPD1,,
20,Zika virus disease,virus,MONDO_0018661,0.0,50000.0,low,True,PAIS,Guillain-Barré syndrome; congenital Zika syndrome (vertical transmission),days-to-months post-acute,Cao-Lormeau 2016 NEJM; WHO Zika,"Aedes vector control (integrated with dengue); Pregnancy exposure avoidance & condom use; Supportive care (rest, fluids, analgesia); Guillain-Barré syndrome management (IVIG, plasmapheresis); Congenital Zika syndrome multidisciplinary care",AXL; CD8A; CD4; STAT2; IL1B; STAT1,,
21,Leprosy (Hansen's disease),bacteria,MONDO_0005124,0.0,30000.0,low,True,sequela,"Chronic peripheral neuropathy, disability, immune-mediated reactions (ENL/type-1)",during/after treatment,WHO leprosy guidelines,"Contact tracing & BCG in high-risk contacts; Rifampicin; Dapsone; Clofazimine; Ofloxacin / minocycline / clarithromycin; Reaction management (prednisolone, thalidomide for ENL)",LACC1; TNFSF15; RIPK2; SNX20; ADGB; C1orf141,,
22,Yaws (endemic treponematoses),bacteria,MONDO_0006019,0.0,20000.0,low,True,chronic,Chronic destructive skin/bone/cartilage lesions if untreated,chronic/late,WHO yaws eradication,Azithromycin (single dose); Benzathine penicillin G; Active case finding & contact treatment; Bone & cartilage lesion management,CA4,,
23,Dracunculiasis (Guinea-worm disease),helminth,MONDO_0016472,0.0,50.0,high,False,none,Transient joint involvement; no defined post-acute syndrome (near eradication),-,WHO GWEP,Guinea worm case containment & water filtration; Safe water supply education; Manual worm extraction & wound care,ITGB2; CARD14; IL1RN; CTSL; CTSV; TRPV3,,
24,"Mycetoma, chromoblastomycosis and other deep mycoses",fungus,MONDO_0005757,,,,True,chronic,"Chronic progressive subcutaneous destruction, disability, amputation",chronic by nature,WHO mycetoma,Footwear & wound protection; Itraconazole; Ketoconazole; Amoxicillin–clavulanate + gentamicin; Surgical debridement & amputation (advanced),CYP51A1; IL17A; IL10; IL1B; IL37; IFNG,,
25,Noma (cancrum oris),polymicrobial,MONDO_0017124,,,low,True,sequela,"Severe facial disfigurement, trismus, functional (eating/speech) impairment in survivors",post-acute (survivors),Srour 2015; WHO,Nutrition & oral hygiene programs; Amoxicillin–clavulanate; Metronidazole; Nutritional rehabilitation + reconstructive surgery,GCG; CAT,,
